year,month,category,total_quantity,promo_share,discount_rate
2025,1,Hoodies,363,0.9944903581267218,0.29855938175336544
2025,2,Hoodies,208,0.0,0.0
2025,3,Hoodies,170,0.0,0.0
2025,4,Hoodies,119,0.0,0.0
2025,5,Hoodies,145,0.0,0.001826620591675524
2025,6,Hoodies,159,0.0,0.0
2025,7,Hoodies,217,1.0,0.3500550688342301
2025,8,Hoodies,165,0.0,0.0023100286614667256
2025,9,Hoodies,206,0.0,0.0029030946989490798
2025,10,Hoodies,177,0.0,0.0
2025,11,Hoodies,510,0.37254901960784315,0.15173416220600663
2025,12,Hoodies,611,0.0,0.0
2024,1,Jackets,3928,0.9821792260692465,0.2927225087659013
2024,2,Jackets,2147,0.0,0.0009423791069169701
2024,3,Jackets,1564,0.0,0.00047599555312012875
2024,4,Jackets,1464,0.0,0.00045159060090357086
2024,5,Jackets,1353,0.0,0.0008950280158340964
2024,6,Jackets,1304,0.0,0.001272750683626211
2024,7,Jackets,2228,1.0,0.3470187084033114
2024,8,Jackets,1289,0.0,0.0017105851512112865
2024,9,Jackets,1835,0.0,0.00016957702458661873
2024,10,Jackets,1703,0.0,0.000508194391406214
2024,11,Jackets,4869,0.3896077223249127,0.15720201083873156
2024,12,Jackets,5299,0.48745046235138706,0.09763983362177717
2025,1,Jackets,4523,0.9851868229051515,0.2944868115875235
2025,2,Jackets,2486,0.0,0.0007357860386418495
2025,3,Jackets,1793,0.0,0.0008554422734461158
2025,4,Jackets,1852,0.0,0.001901080998712078
2025,5,Jackets,1550,0.0,0.0018482980172561062
2025,6,Jackets,1764,0.0,0.0014293238101407357
2025,7,Jackets,2531,1.0,0.34470100080113947
2025,8,Jackets,1514,0.0,0.0001952628415358747
2025,9,Jackets,1989,0.0,0.0021348093949913713
2025,10,Jackets,2214,0.0,0.0003906621834054408
2025,11,Jackets,5825,0.39587982832618024,0.15989742943466378
2025,12,Jackets,6225,0.49140562248995984,0.09921134224072804
2024,1,Jeans,773,0.9870633893919794,0.296222284646516
2024,2,Jeans,388,0.0,0.0007383936093904612
2024,3,Jeans,741,0.0,0.0005199408173288485
2024,4,Jeans,803,0.0,0.0012354608529520875
2024,5,Jeans,554,0.0,0.0032810764815322264
2024,6,Jeans,622,0.0,0.00048588498771298314
2024,7,Jeans,972,1.0,0.3476609375253262
2024,8,Jeans,633,0.0,0.000960905928382051
2024,9,Jeans,861,0.0,0.0
2024,10,Jeans,802,0.0,0.0
2024,11,Jeans,930,0.4075268817204301,0.1635330739522161
2024,12,Jeans,1085,0.0,0.00023124793695136897
2025,1,Jeans,965,0.9761658031088083,0.2896294331269038
2025,2,Jeans,481,0.0,0.0006147851221442813
2025,3,Jeans,848,0.0,0.00036220623879946865
2025,4,Jeans,913,0.0,0.0015233730530562755
2025,5,Jeans,799,0.0,0.00033371548034236126
2025,6,Jeans,848,0.0,0.0
2025,7,Jeans,1189,1.0,0.347882829153749
2025,8,Jeans,714,0.0,0.0006740099158917889
2025,9,Jeans,968,0.0,0.0002563172557186309
2025,10,Jeans,912,0.0,0.0007276397201367489
2025,11,Jeans,1170,0.3581196581196581,0.14345411548269954
2025,12,Jeans,1255,0.0,0.0015272163754385536
2024,1,Pants,142,0.9859154929577465,0.2967453733248245
2024,2,Pants,92,0.0,0.0
2024,3,Pants,94,0.0,0.0
2024,4,Pants,138,0.0,0.0
2024,5,Pants,91,0.0,0.0
2024,6,Pants,136,0.0,0.0
2024,7,Pants,185,1.0,0.34654319656091587
2024,8,Pants,96,0.0,0.0
2024,9,Pants,160,0.0,0.0
2024,10,Pants,176,0.0,0.0
2024,11,Pants,182,0.4230769230769231,0.17332600157756317
2024,12,Pants,187,0.0,0.0
2025,1,Pants,158,0.9873417721518988,0.29713277920522146
2025,2,Pants,99,0.0,0.0
2025,3,Pants,182,0.0,0.0
2025,4,Pants,160,0.0,0.0
2025,5,Pants,130,0.0,0.0
2025,6,Pants,146,0.0,0.0
2025,7,Pants,239,1.0,0.35006649121147543
2025,8,Pants,131,0.0,0.0
2025,9,Pants,209,0.0,0.008081723280676292
2025,10,Pants,180,0.0,0.0
2025,11,Pants,172,0.36046511627906974,0.1586132187627664
2025,12,Pants,218,0.0,0.0
2024,1,Shirts,1258,0.9833068362480127,0.2919258256344749
2024,2,Shirts,705,0.0,0.0012693933252942837
2024,3,Shirts,1076,0.0,0.0
2024,4,Shirts,1161,0.0,0.0008179529492873997
2024,5,Shirts,994,0.0,0.0004133506650202339
2024,6,Shirts,1011,0.0,0.002080744972695761
2024,7,Shirts,1611,1.0,0.34885912322952084
2024,8,Shirts,1015,0.0,0.00044895978220185577
2024,9,Shirts,1373,0.0,0.0003218886918512196
2024,10,Shirts,1441,0.0,0.0
2024,11,Shirts,1564,0.35485933503836314,0.14269118995822047
2024,12,Shirts,1714,0.0,0.0005538470059184706
2025,1,Shirts,1404,0.9914529914529915,0.29441089256680886
2025,2,Shirts,816,0.0,0.0010774016387555183
2025,3,Shirts,1363,0.0,0.0
2025,4,Shirts,1464,0.0,0.002217718596122759
2025,5,Shirts,1191,0.0,0.0013786021100647566
2025,6,Shirts,1258,0.0,0.00027773806477580167
2025,7,Shirts,1917,1.0,0.34819154602426555
2025,8,Shirts,1186,0.0,0.0002918933093268366
2025,9,Shirts,1494,0.0,0.00013381411257156825
2025,10,Shirts,1629,0.0,0.0007588538815318376
2025,11,Shirts,1899,0.4054765666140074,0.16178788994990545
2025,12,Shirts,1979,0.0,0.001097714800226008
2024,1,Shoes,389,0.987146529562982,0.2916651969315518
2024,2,Shoes,215,0.0,0.0032666721169183352
2024,3,Shoes,351,0.0,0.0
2024,4,Shoes,360,0.0,0.0041285303893240696
2024,5,Shoes,290,0.0,0.0
2024,6,Shoes,281,0.0,0.00395467859499335
2024,7,Shoes,504,1.0,0.3448381023849334
2024,8,Shoes,297,0.0,0.0
2024,9,Shoes,387,0.0,0.0
2024,10,Shoes,480,0.0,0.0006569391362431904
2024,11,Shoes,502,0.38645418326693226,0.15106178096318734
2024,12,Shoes,528,0.5056818181818182,0.10298319525648288
2025,1,Shoes,426,0.9835680751173709,0.28835421259787325
2025,2,Shoes,249,0.0,0.0
2025,3,Shoes,432,0.0,0.0
2025,4,Shoes,446,0.0,0.002516312497909538
2025,5,Shoes,330,0.0,0.003922002642336877
2025,6,Shoes,328,0.0,0.001320794342359269
2025,7,Shoes,536,1.0,0.34859008070412717
2025,8,Shoes,366,0.0,0.0
2025,9,Shoes,500,0.0,0.0
2025,10,Shoes,548,0.0,0.0006389952488823847
2025,11,Shoes,632,0.4208860759493671,0.1700684868898912
2025,12,Shoes,634,0.5110410094637224,0.10253931592095948
2024,1,Skirts,1354,0.9793205317577548,0.29093440945655336
2024,2,Skirts,741,0.0,0.004589580508792852
2024,3,Skirts,1128,0.0,0.0
2024,4,Skirts,1184,0.0,0.0
2024,5,Skirts,2199,0.0,0.00045701643813513037
2024,6,Skirts,2288,0.0,0.0014351159359555935
2024,7,Skirts,3742,1.0,0.34808725968882104
2024,8,Skirts,2226,0.0,0.0014423572844174297
2024,9,Skirts,1466,0.0,0.001876809780860115
2024,10,Skirts,1477,0.0,0.00042342361747762863
2024,11,Skirts,1847,0.39740119112073635,0.16391123324350892
2024,12,Skirts,1997,0.0,0.001426861385827117
2025,1,Skirts,1587,0.9716446124763705,0.29037464698283205
2025,2,Skirts,775,0.0,0.0027160435954529474
2025,3,Skirts,1381,0.0,0.0011726193333157589
2025,4,Skirts,1409,0.0,0.0004306214158978128
2025,5,Skirts,2609,0.0,0.001361023858055246
2025,6,Skirts,2818,0.0,0.0010368465170986542
2025,7,Skirts,4310,1.0,0.3482019021450055
2025,8,Skirts,2545,0.0,0.0004237899930531346
2025,9,Skirts,1709,0.0,0.0006000123397162934
2025,10,Skirts,1652,0.0,0.0015395606551185537
2025,11,Skirts,2118,0.39612842304060436,0.15918239449658084
2025,12,Skirts,2282,0.0,0.0015047953232035082
2024,1,T-Shirts,87,0.9425287356321839,0.2773566577067574
2024,2,T-Shirts,67,0.0,-0.007605063457834697
2024,3,T-Shirts,101,0.0,-0.006756028705040622
2024,4,T-Shirts,79,0.0,-0.009934182619285453
2024,5,T-Shirts,126,0.0,-0.005853328173374613
2024,6,T-Shirts,127,0.0,-0.0049812197950655735
2024,7,T-Shirts,211,1.0,0.34186561055945236
2024,8,T-Shirts,121,0.0,-0.008341684045175093
2024,9,T-Shirts,86,0.0,-0.007703261047176638
2024,10,T-Shirts,85,0.0,-0.003921957016935724
2024,11,T-Shirts,95,0.3684210526315789,0.15891462536983234
2024,12,T-Shirts,122,0.0,-0.006249641319942612
2025,1,T-Shirts,121,0.9669421487603306,0.2806505098753447
2025,2,T-Shirts,53,0.0,-0.011260957039164528
2025,3,T-Shirts,108,0.0,-0.0059776592532957635
2025,4,T-Shirts,94,0.0,-0.008859853230714157
2025,5,T-Shirts,162,0.0,-0.005564518647278633
2025,6,T-Shirts,185,0.0,-0.006713748302254304
2025,7,T-Shirts,310,1.0,0.3464539087985036
2025,8,T-Shirts,170,0.0,-0.00604600523523825
2025,9,T-Shirts,110,0.0,-0.0057223866702767485
2025,10,T-Shirts,106,0.0,-0.005371659469345155
2025,11,T-Shirts,115,0.41739130434782606,0.1695311357259684
2025,12,T-Shirts,140,0.0,-0.007480672973951833
2024,1,Tops,1188,0.9823232323232324,0.291852411510099
2024,2,Tops,686,0.0,0.0022511518225244395
2024,3,Tops,1111,0.0,0.0
2024,4,Tops,1160,0.0,0.0006226523292626236
2024,5,Tops,968,0.0,0.001041295754309299
2024,6,Tops,880,0.0,0.00137955286257219
2024,7,Tops,1388,1.0,0.34416731467735806
2024,8,Tops,866,0.0,0.0
2024,9,Tops,1370,0.0,0.00019515249773751774
2024,10,Tops,1310,0.0,0.0003241495950381101
2024,11,Tops,1626,0.3849938499384994,0.15404147213937192
2024,12,Tops,1735,0.0,0.0008055451586678995
2025,1,Tops,1557,0.9820166987797045,0.2929653556585901
2025,2,Tops,784,0.0,0.0013069955524485637
2025,3,Tops,1295,0.0,0.001147557531567319
2025,4,Tops,1347,0.0,0.0002506118069871156
2025,5,Tops,1036,0.0,0.0006178479844551715
2025,6,Tops,1180,0.0,0.0003376625104791814
2025,7,Tops,1741,1.0,0.34627833071764264
2025,8,Tops,1004,0.0,0.0
2025,9,Tops,1513,0.0,0.00022240757632059055
2025,10,Tops,1584,0.0,0.0010520425238314274
2025,11,Tops,1972,0.3975659229208925,0.16141997641556763
2025,12,Tops,2098,0.0,0.0009887359689547172
